price;old_price;rating;review_count;sales_last_month;discount_rate;clean_title;brand_extracted;category
355.0;355.0;4.258333333333333;102.3382352941177;287;0.0;golden rose longstay liquid matte lipstick no 42 bulasmayan kalc likit mat ruj;Golden Rose;Makyaj
284.9;284.9;3.9;32.0;50;0.0;note cosmetics 3 in 1 healthy skin tinted moisturizer renk ton esitleyici 50 spf aydnlatc krem;Note Cosmetics;Cilt Bakımı
350.95;350.95;4.0;28.0;425;0.0;note cosmetics collagen concealer 01 kolajen icerikli spf 20 goz alt kapatcs;Note Cosmetics;Makyaj
254.9;254.9;4.4;74.0;80;0.0;note cosmetics mineral concealer 202 spf 15 goz alt kapatcs;Note Cosmetics;Makyaj
499.0;499.0;4.3;13.0;500;0.0;l oreal paris telescopic maskara siyah;Lore;Makyaj
130.9;130.9;4.7;937.0;600;0.0;blistex medplus stick kuru ve catlams dudaklara onarc ve ferahlatc dudak bakm kremi spf 15;Blistex;Cilt Bakımı
689.9;344.95;4.3;420.0;900;-100.0;cream co su bazl moisturizer nemlendirici aydnlatc yuz kremi hyaluronik asit 50 ml tum cilt tipleri;Cream Co;Cilt Bakımı
134.5;269.0;4.5;1.0;600;50.0;the purest solutions gozenek ve siyah nokta gorunumunu azaltmaya yardmc arndrc tonik 5 glikolik asit aha bha 200 ml;The Purest;Cilt Bakımı
119.93;179.9;4.5;676.0;300;33.33518621456364;l oreal paris elseve mucizevi yag sac guzellestirici krem 150 ml kuru ve sert saclar icin;L'Oreal Paris;Other
427.46;427.46;4.5;382.0;50;0.0;l oreal paris lumi blush likit allk 630 glowy true rose;L'Oreal Paris;Makyaj
809.47;239.39;4.4;363.0;300;-238.1386022807971;the purest solutions retinol icerikli gece bakm serumu krsklk karst bakm 30 ml 1 retinol seramid;The Purest;Cilt Bakımı
449.0;449.0;4.5;34.0;400;0.0;maybelline new york lash sensational sky high maskara;Maybelline;Makyaj
359.9;359.9;4.6;68.0;100;0.0;l oreal paris elseve glycolic gloss parlaklg saca muhurleyen laminasyon 5 dakikada durulanan bakm 200 ml;L'Oreal Paris;Makyaj
589.0;589.0;4.3;8.0;100;0.0;l oreal paris panorama hacim veren maskara siyah;L'Oreal Paris;Makyaj
2479.17;119.0;4.7;736.0;50;-1983.336134453782;nivea bogurtlen dudak bakm kremi 4 8 gr 24 saat nemlendirme bogurtlen kokusu isltl renk mineral yag icermez;Nivea;Other
1759.7;703.88;4.5;1.0;400;-150.0;la roche posay cicaplast baume b5 40ml;La Roche-Posay;Other
219.0;219.0;4.2;78.0;100;0.0;cream co allk ruj goz far glow tint soft mocha nemlendirici makyaj 504 nude hyaluronik asit peptit;Cream Co;Makyaj
114.23;199.9;4.6;665.0;600;42.85642821410705;urban care twisted curls hibiscus shea butter kvrck ve dalgal saclara ozel durulanmayan bakm kremi 175 ml vegan;URBAN Care;Other
1014.08;299.9;4.4;818.0;400;-238.1393797932645;the purest solutions c vitamini aydnlatc ve cilt tonu esitleyici cilt bakm serumu 30 ml 10 ascorbic acid ferulic acid 0 5;sheer up;Cilt Bakımı
10799.67;323.99;4.3;134.0;200;-3233.334362171672;sheer up yar transparan parlak bitisli nemlendirici ruj;Note Cosmetics;Makyaj
199.0;199.0;4.2;17.0;148;0.0;note cosmetics flawless lipgloss 03 dried rose nemlendirici etkili parlak ruj pembe;Note Cosmetics;Makyaj
223.6;223.6;4.4;903.0;238;0.0;golden rose longstay liquid matte lipstick no 37 bulasmayan kalc likit mat ruj;Golden Rose;Makyaj
2699.0;269.9;4.3;127.0;437;-900.0;note cosmetics bb concealer 03 spf 15 goz alt kapatcs;Note Cosmetics;Makyaj
369.9;369.9;5.0;1.0;330;0.0;note cosmetics hydramoist lipgloss 07 mellow thought nemlendirici dudak parlatcs pembe;Note Cosmetics;Makyaj
36.66;32.99;4.7;645.0;300;-11.12458320703242;dove beauty cream bar kat guzellik sabunu original nemledirici etkili 90 g;Dove;Cilt Bakımı
99.0;99.0;4.6;146.0;50;0.0;golden rose emily long lasting lip pencil no 203 uzun sure kalc dudak kalemi;Golden Rose;Makyaj
219.0;219.0;4.3;29.0;50;0.0;cream co allk ruj goz far glow tint warm peach nemlendirici makyaj 503 seftali hyaluronik asit peptit;Cream Co;Makyaj
249.0;249.0;4.3;556.0;800;0.0;urban care style guide dogal ve mat gorunum saglayan esnek tutuslu wax 100 ml vegan;URBAN Care;Other
11399.67;341.99;3.9;87.0;300;-3233.334308020702;sheer up yar transparan parlak bitisli nemlendirici ruj;sheer up;Makyaj
689.9;344.95;4.1;153.0;200;-100.0;cream co cloud moisturizer hassas ciltler icin nemlendirici yuz kremi 50 ml;Cream Co;Cilt Bakımı
555.71;555.71;4.5;11.0;100;0.0;l oreal paris glotion all in one dogal islt aydnlatc losyon 902 light glow;L'Oreal Paris;Other
50.0;475.0;4.6;4.0;300;89.47368421052632;maybelline new york lash sensational yelpaze etkili intense black maskara ekstra siyah 1 paket 1 x 9 5 ml;Maybelline;Makyaj
880.0;264.0;4.3;804.0;300;-233.3333333333333;the purest solutions leke karst ve leke gorunumu onleyici arbutin cilt bakm serumu 30 ml arbutin 2 hyaluronic acid;The Purest;Cilt Bakımı
215.0;215.0;4.2;148.0;420;0.0;pastel plump up gloss 202 loverdose dolgunlastrc dudak parlatcs;Pastel;Makyaj
2168.98;1084.49;4.4;7.0;700;-100.0;la roche posay anthelios oil control fluid spf 50 akskan yuz gunes kremi 50 ml;La Roche-Posay;Cilt Bakımı
10799.67;323.99;4.4;113.0;400;-3233.334362171672;sheer up yar transparan parlak bitisli nemlendirici ruj;sheer up;Makyaj
167.9;167.9;4.4;286.0;372;0.0;pastel cream blush krem allk 42 rosery 3 6 g;Pastel;Makyaj
219.0;219.0;3.9;35.0;50;0.0;cream co allk ruj goz far glow tint rich berry nemlendirici makyaj 502 bordo hyaluronik asit peptit;Cream Co;Makyaj
1096.67;329.0;4.2;469.0;300;-233.3343465045593;the purest solutions gozenek ve siyah nokta karst sivilce onleyici niacinamide cilt bakm serumu 30 ml niacinamide 5 zinc pca 1;The Purest;Cilt Bakımı
499.0;499.0;4.6;29.0;400;0.0;maybelline new york instant anti age eraser kapatc 01 light 6 8 ml;Maybelline;Other
519.9;519.9;4.4;2.0;200;0.0;maybelline new york super lock brow glue kas sabitleyici maskara;Maybelline;Makyaj
