asin,title,price,old_price,rating,review_count,sales_last_month,link
B0BJ7F5XJS,Golden Rose Longstay Liquid Matte Lipstick No: 42 - Bulaşmayan Kalıcı Likit Mat Ruj,355.0,355.0,,,,None
B0DN29JGN2,Note Cosmetics 3 in 1 Healthy Skin Tinted Moisturizer Renk Ton Eşitleyici 50 SPF Aydınlatıcı Krem,284.9,284.9,3.9,32.0,50.0,None
B0CB8KW5PH,Note Cosmetics Collagen Concealer 01 Kolajen İçerikli SPF 20 Göz Altı Kapatıcısı,350.95,350.95,4.0,28.0,,None
B0855963RQ,Note Cosmetics Mineral Concealer 202 SPF 15 Göz Altı Kapatıcısı,254.9,254.9,4.4,74.0,,None
B0078MF1PC,L'Oreal Paris Telescopic Maskara - Siyah,499.0,499.0,4.3,13.0,500.0,None
B00SNZ05OA,Blistex Medplus Stick Kuru ve Çatlamış Dudaklara Onarıcı ve Ferahlatıcı Dudak Bakım Kremi SPF 15,130.9,130.9,4.7,937.0,600.0,None
B0D2J14PJS,"Cream Co. Su Bazlı Moisturizer Nemlendirici Aydınlatıcı Yüz Kremi, Hyaluronik Asit, 50 ML, Tüm Cilt Tipleri",689.9,344.95,4.3,420.0,900.0,None
B08LBDKLSL,"The Purest Solutions, Gözenek ve Siyah Nokta Görünümünü Azaltmaya Yardımcı Arındırıcı Tonik,%5 Glikolik Asit, AHA, BHA, 200 ml",134.5,269.0,4.5,1.0,600.0,None
B07L7QN9W7,L'Oreal Paris Elseve Mucizevi Yağ Saç Güzelleştirici Krem 150 ml - Kuru ve Sert Saçlar İçin,119.93,179.9,4.5,676.0,300.0,None
B0DK76JKY5,L'Oreal Paris Lumi Blush Likit Allık - 630 Glowy True Rose,427.46,427.46,4.5,382.0,50.0,None
B09P1BK5H2,"The Purest Solutions, Retinol İçerikli Gece Bakım Serumu, Kırışıklık Karşıtı Bakım, 30 ml (%1 Retinol + Seramid)",809.47,239.39,4.4,363.0,300.0,None
B08P4YPB8Q,Maybelline New York Lash Sensational Sky High Maskara,449.0,449.0,4.5,34.0,400.0,None
B0CYLQNDRH,L'Oreal Paris Elseve Glycolic Gloss Parlaklığı Saça Mühürleyen Laminasyon 5 Dakikada Durulanan Bakım 200 ml,359.9,359.9,4.6,68.0,100.0,None
B0CJ5GW8RY,L'Oreal Paris Panorama Hacim Veren Maskara - Siyah,589.0,589.0,4.3,8.0,100.0,None
B07L7S6W94,"NIVEA Böğürtlen Dudak Bakım Kremi 4.8 gr, 24 Saat Nemlendirme,Böğürtlen Kokusu,Işıltılı Renk,Mineral Yağı İçermez",2479.17,119.0,4.7,736.0,50.0,None
B0BJFLYK3S,La Roche-Posay Cicaplast Baume B5+ 40ml,1759.7,703.88,4.5,1.0,400.0,None
B0DLNNBGF5,"Cream Co. Allık Ruj Göz Farı Glow Tint Soft Mocha, Nemlendirici Makyaj, 504 Nude, Hyaluronik Asit Peptit",219.0,219.0,4.2,78.0,100.0,None
B088DDN1YP,URBAN Care Twisted Curls Hibiscus & Shea Butter Kıvırcık ve Dalgalı Saçlara Özel Durulanmayan Bakım Kremi 175 ml- Vegan,114.23,199.9,4.6,665.0,600.0,None
B09P1C4SF1,"The Purest Solutions, C Vitamini Aydınlatıcı ve Cilt tonu Eşitleyici Cilt Bakım Serumu 30 ml (%10 Ascorbic Acid & Ferulic Acid%0,5)",1014.08,299.9,4.4,818.0,400.0,None
B0BKQVWXJ7,Sheer Up Yarı Transparan & Parlak Bitişli Nemlendirici Ruj,10799.67,323.99,4.3,134.0,200.0,None
B0B5RLQ8ZX,"Note Cosmetics Flawless Lipgloss 03 Dried Rose Nemlendirici Etkili Parlak Ruj, Pembe",199.0,199.0,4.2,17.0,,None
B07WWYC756,Golden Rose Longstay Liquid Matte Lipstick No: 37 - Bulaşmayan Kalıcı Likit Mat Ruj,223.6,223.6,4.4,903.0,,None
B07Z7TQJJR,Note Cosmetics BB Concealer 03 SPF 15 Göz Altı Kapatıcısı,2699.0,269.9,4.3,127.0,,None
B0DZLXR2P8,"Note Cosmetics Hydramoist Lipgloss 07 Mellow Thought Nemlendirici Dudak Parlatıcısı, Pembe",369.9,369.9,5.0,1.0,,None
B0B34VTFR5,"Dove Beauty Cream Bar Katı Güzellik Sabunu Original Nemledirici Etkili, 90 g",36.66,32.99,4.7,645.0,300.0,None
B076KD8QBX,Golden Rose Emily Long Lasting Lip Pencil No: 203 - Uzun Süre Kalıcı Dudak Kalemi,99.0,99.0,4.6,146.0,50.0,None
B0DLNND7JT,"Cream Co. Allık Ruj Göz Farı Glow Tint Warm Peach, Nemlendirici Makyaj, 503 Şeftali, Hyaluronik Asit Peptit",219.0,219.0,4.3,29.0,50.0,None
B09ZTS2YY7,URBAN Care Style Guide Doğal ve Mat Görünüm Sağlayan Esnek Tutuşlu Wax 100 ml- Vegan,249.0,249.0,4.3,556.0,800.0,None
B0BKQWJY5R,Sheer Up Yarı Transparan & Parlak Bitişli Nemlendirici Ruj,11399.67,341.99,3.9,87.0,300.0,None
B0D2HZ24MW,"Cream Co. Cloud Moisturizer, Hassas Ciltler için Nemlendirici Yüz Kremi, 50 ml",689.9,344.95,4.1,153.0,200.0,None
B0CPT722P5,L'Oreal Paris Glotion All-In-One Doğal Işıltı Aydınlatıcı Losyon - 902 Light Glow,555.71,555.71,4.5,11.0,100.0,None
B0151NW9EA,Maybelline New York Lash Sensational Yelpaze Etkili Intense Black Maskara - Ekstra Siyah 1 Paket (1 x 9.5 ml),50.0,475.0,4.6,4.0,300.0,None
B08LBDX5LN,"The Purest Solutions, Leke Karşıtı ve Leke Görünümü Önleyici Arbutin Cilt Bakım Serumu 30 ml (Arbutin%2 + Hyaluronic Acid)",880.0,264.0,4.3,804.0,300.0,None
B0BYT385FP,Pastel Plump Up Gloss 202 Loverdose Dolgunlaştırıcı Dudak Parlatıcısı,215.0,215.0,4.2,148.0,,None
B0BWSJGBHW,La Roche-Posay Anthelios Oil Control Fluid SPF 50+ Akışkan Yüz Güneş Kremi 50 ml,2168.98,1084.49,4.4,7.0,700.0,None
